time,open,high,low,close,WMA 14,动态止损价,最大固定止损线,Volume,Histogram,MACD,Signal line,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-09-11T22:00:00+08:00,23978.75,24048.75,23946.75,24032.5,23926.583333333332,23414.135714285716,19710.649999999998,517900,1.1586743746260737,77.0060688554695,75.84739448084342,69.92537538958464,63.09264009375738,,,,
2025-09-12T02:00:00+08:00,24032.75,24044.25,24003.75,24006.5,23939.961904761905,23414.135714285716,19710.649999999998,176526,2.0978663622426836,78.46972743364677,76.37186107140408,66.06029156527383,63.573350926988844,,,,
2025-09-12T06:00:00+08:00,24028,24029.5,24001,24004.75,23951.283333333333,23414.135714285716,19710.649999999998,40857,1.7686114926749497,78.58262543724777,76.81401394457282,65.7932623413615,63.91178752841573,,,,
2025-09-12T10:00:00+08:00,24004.5,24039.5,23992,24035,23965.064285714285,23414.135714285716,19710.649999999998,28217,2.699713010074902,80.18865520716645,77.48894219709155,68.21598113561353,64.18547577809137,,,,
2025-09-12T14:00:00+08:00,24035,24036.25,23968.75,24010.75,23974.22142857143,23414.135714285716,19710.649999999998,56940,0.8877557434429093,78.59863687639518,77.71088113295227,64.23717559759729,64.11186618261267,,,,
2025-09-12T18:00:00+08:00,24010.75,24063.5,24002,24046,23987.04761904762,23414.135714285716,19710.649999999998,210329,1.246615789129578,79.26915086936424,78.02253508023466,67.26489906828304,64.17627093811599,,,,
2025-09-12T22:00:00+08:00,24044.75,24129,24018,24124,24009.061904761904,23414.135714285716,19710.649999999998,453016,5.672653872532194,85.1133524208999,79.4406985483677,72.8196382520262,64.73573574169812,,,,
2025-09-13T02:00:00+08:00,24124,24159,24087.5,24114.5,24027.759523809524,23414.135714285716,19710.649999999998,239576,6.81892541594695,87.96435531830139,81.14542990235444,71.21405341844698,65.06195507449421,,,,
2025-09-15T06:00:00+08:00,24112.25,24129.75,24091.5,24114.75,24044.740476190476,23414.135714285716,19710.649999999998,29606,6.456093895181382,89.21554727133116,82.75945337614978,71.23226280883674,65.72977408732105,,,,
2025-09-15T10:00:00+08:00,24114,24144.75,24108.25,24140,24063.02380952381,23414.135714285716,19710.649999999998,16495,6.747132889357147,91.19336948784621,84.44623659848907,73.10669205248851,66.90708095015773,,,,
2025-09-15T14:00:00+08:00,24140,24159.25,24075.5,24095.5,24072.69761904762,23414.135714285716,19710.649999999998,39872,2.9660883777906264,88.15384707072735,85.18775869293673,64.96807628427645,67.18281228179683,,,,
2025-09-15T18:00:00+08:00,24095.75,24262.25,24091.25,24260.75,24102.614285714284,23414.135714285716,19710.649999999998,117601,10.209944085727358,97.95018880009593,87.74024471436857,75.85647660389981,68.44867947947405,,,,
2025-09-15T22:00:00+08:00,24260.5,24294.25,24221,24287.25,24132.490476190476,23414.135714285716,19710.649999999998,207673,15.106287394795828,106.62310395786335,91.51681656306752,77.10156139875957,69.57213977465155,,,,
2025-09-16T02:00:00+08:00,24286.75,24315.75,24245.25,24295.75,24160.004761904762,23414.135714285716,19710.649999999998,94166,17.091432770661797,112.88110752639477,95.78967475573297,77.50744241017938,70.37879916618768,,,,
2025-09-16T06:00:00+08:00,24536,24562.75,24525,24556.25,24219.238095238095,23414.135714285716,19710.649999999998,25235,33.19092752989849,137.27833416810608,104.0874066382076,85.87693567510318,71.518196329439,,,,
2025-09-16T10:00:00+08:00,24556.5,24602,24553.75,24594.5,24278.583333333332,23414.135714285716,19710.649999999998,21965,43.03393630265923,157.87982701653164,114.84589071387241,86.67137018595508,72.99041623091622,,,,
2025-09-16T14:00:00+08:00,24594.75,24646.75,24582,24626.5,24336.595238095237,23414.135714285716,19710.649999999998,42522,47.9425706381426,174.77410401155066,126.83153337340806,87.32221813344171,74.52819878749338,,,,
2025-09-16T18:00:00+08:00,24626.5,24632.25,24523.5,24538,24376.885714285716,23414.135714285716,19710.649999999998,173798,41.70181664175908,178.95880417560693,137.25698753384785,76.10941334884194,75.09201537415255,,,,
2025-09-16T22:00:00+08:00,24538,24561,24499,24534.25,24411.885714285716,23414.135714285716,19710.649999999998,351272,34.11349280836643,179.8988535443059,145.78536073593946,75.66032245612523,75.90795443547599,,,,
2025-09-17T02:00:00+08:00,24534.25,24561.25,24516.75,24531,24441.466666666667,23414.135714285716,19710.649999999998,144956,26.032488063705273,178.32597081557105,152.29348275186578,75.2405744610752,76.47764553496113,,,,
2025-09-17T06:00:00+08:00,24531,24551.5,24525.25,24530.75,24466.39523809524,23414.135714285716,19710.649999999998,29504,18.1984197759476,175.0415074718003,156.8430876958527,75.20556256623426,76.6480687002617,,,,
2025-09-17T10:00:00+08:00,24530.75,24533.5,24499.75,24518.25,24485.783333333333,23414.135714285716,19710.649999999998,21162,10.106557018652609,169.47628396916843,159.36972695051583,73.34396224199415,76.80020504480079,,,,
2025-09-17T14:00:00+08:00,24518.25,24553,24456,24511.75,24500.459523809524,23414.135714285716,19710.649999999998,61382,2.6371735941805525,162.66619394324152,160.02902034906097,72.32832920562632,76.87849550171434,,,,
2025-09-17T18:00:00+08:00,24511.75,24540.75,24462,24477.75,24506.821428571428,23414.135714285716,19710.649999999998,199381,-5.811490829279251,152.7646568124619,158.57614764174116,67.0316182213479,76.44456165663287,,,,
2025-09-17T22:00:00+08:00,24477.5,24480.75,24374.75,24454.75,24506.9,23414.135714285716,19710.649999999998,362088,-13.71581679610398,141.43137664661117,155.14719344271515,63.59479724635992,76.34647029678169,,,,
2025-09-18T02:00:00+08:00,24459.25,24550.75,24241.75,24501.25,24509.757142857143,23414.135714285716,19710.649999999998,644588,-16.39801537920843,134.6496742187046,151.04768959791303,67.29331273970894,75.73481573505376,,,,
2025-09-18T06:00:00+08:00,24504,24597.25,24492.5,24593.25,24522.590476190475,23414.135714285716,19710.649999999998,58903,-12.725402308038127,135.14093671286537,147.8663390209035,73.17528020144424,75.45436707810266,,,,
2025-09-18T10:00:00+08:00,24593,24653.75,24587,24614.75,24535.376190476192,23414.135714285716,19710.649999999998,47797,-9.732382384224536,135.70086104062284,145.43324342484738,74.35123780331881,75.22892389189835,,,,
2025-09-18T14:00:00+08:00,24614.75,24733.5,24586,24717,24558.757142857143,23414.135714285716,19710.649999999998,90149,-2.146758908013851,142.74979478983005,144.8965536978439,79.10388375708722,74.7451344691829,,,,
2025-09-18T18:00:00+08:00,24717.5,24766,24598.75,24697.25,24577.97380952381,23414.135714285716,19710.649999999998,323109,0.13890649608734407,145.07018681795307,144.93128032186573,76.13136230653598,73.9922767635101,,,,
2025-09-18T22:00:00+08:00,24697,24815.75,24694,24734.75,24601.211904761905,23414.135714285716,19710.649999999998,529087,2.636087158038322,148.22638926941363,145.5903021113753,77.85503542739112,73.31604942736364,,,,
2025-09-19T02:00:00+08:00,24734.75,24766.25,24684.75,24713.75,24620.619047619046,23414.135714285716,19710.649999999998,205193,1.3955936399915174,147.3347941613647,145.93920052137318,74.56544754130289,73.20576615539656,,,,
2025-09-19T06:00:00+08:00,24715,24749.25,24694.75,24716.25,24638.685714285715,23414.135714285716,19710.649999999998,55840,-0.6260386637550823,145.1566521916793,145.7826908554344,74.70425459734504,73.13747559405513,,,,
