交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
1,多头出场,2026-03-23 13:30,离场信号,273.35,7017.7901,2000000.0,-81687.08,-4.0844,200329.86,10.01,-147963.07,-7.4,-81687.08,-4.0844
1,多头进场,2026-03-06 13:30,进场,284.99,7017.7901,2000000.0,-81687.08,-4.0844,200329.86,10.01,-147963.07,-7.4,-81687.08,-4.0844
2,多头出场,2026-06-05 13:30,离场信号,488.0,7522.7958,1918312.92,1752811.42,91.3725,2237715.83,116.6,-89987.68,-4.69,1671124.34,83.5562
2,多头进场,2026-04-01 13:30,进场,255.0,7522.7958,1918312.92,1752811.42,91.3725,2237715.83,116.6,-89987.68,-4.69,1671124.34,83.5562
3,多头出场,2026-07-03 14:30,离场信号,677.77,4778.0,2419388.08,816733.9,33.74,1623886.8,67.09,-1397.78,-0.06,2487858.24,124.3929
3,多头进场,2026-06-15 10:30,进场,506.36,4778.0,2419388.08,816733.9,33.74,1623886.8,67.09,-1397.78,-0.06,2487858.24,124.3929
4,多头出场,2026-07-10 14:30,止损,616.74,4879.0,3235606.43,-229029.84,-7.08,39250.25,1.21,-227826.22,-7.04,2258828.4,112.9414
4,多头进场,2026-07-10 10:30,进场,663.17,4879.0,3235606.43,-229029.84,-7.08,39250.25,1.21,-227826.22,-7.04,2258828.4,112.9414
